0.000		0.000		0.000		0.000		0.000		0.000		0.000		
0.000		0.000		0.000		0.000		0.000		0.000		0.000		
0.000		0.000		0.000		0.000		0.000		0.000		0.000		
0.000		0.000		0.000		0.000		0.000		0.000		0.000		
0.000		0.000		0.000		0.000		0.000		0.000		0.000		
0.000		0.000		0.000		0.000		0.000		0.000		0.000		
0.000		0.000		0.000		0.000		0.000		0.000		0.000		
0.000		0.000		0.000		0.000		0.000		0.000		0.000		
0.000		0.000		0.000		0.000		0.000		0.000		0.000		
0.000		0.000		0.000		0.001		0.000		0.000		0.000		
0.002		0.001		0.003		0.004		0.000		0.000		0.000		
0.006		0.006		0.011		0.011		0.000		0.000		0.000		
0.019		0.017		0.046		0.059		0.001		0.001		0.000		
0.066		0.062		0.352		0.332		0.001		0.003		0.000		
